日期,排名,总分,热点分类,剧情标签,标题,简要摘要,来源,来源数,发布时间,最新发布时间,项目标签,关键词,主体标签,上榜原因,原文链接
2026-04-18,1,8.04,赛果热点,赛果,WCBA总决赛：山西女篮主场险胜四川 大比分扳成1-1,山西女篮主场险胜四川 大比分扳成1-1，比赛拐点已经明确，重点看核心表现和接下来一轮的影响。,央视体育,1,2026-04-18T08:36:00+07:00,2026-04-18T08:36:00+07:00,WCBA,决赛,山西女篮,赛果明确，传播面大；本土联赛优先级更高；关键词：决赛；主体：山西女篮；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTFA5NTdVZl9Uaks5ekt5dUdmY2VYaFBDT2Y4UkFOc3FNLVlCMFRhc3lDMzFXLUJQQTZsSVdJMThaSUoyLXZac2g4NXNQdVlobzVqc2dJWHVFRjdaSHhXMElsa2lxVzRDUmFid3o0dW9iQ19qV212cGhjUnlGUQ?oc=5
2026-04-18,2,7.87,赛前热点,赛前,2026女篮世界杯抽签分档公布 中国女篮位列第二档,2026女篮世界杯抽签分档公布 中国女篮位列第二档，名单或分档已经落定，重点看签表位置、出场机会和后续赛程。,央视体育,1,2026-04-17T09:55:00+07:00,2026-04-17T09:55:00+07:00,WCBA、中国女篮,中国女篮、入围,中国女篮,赛前关注度高；国字号/中国选手关注度高；关键词：中国女篮、入围；主体：中国女篮；标签：赛前；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE5iNGRrX3FDSzdaa2c1R2hrS1l3Uks5QmRpdkt3cENhQ2lPU0c0SW1hY011azg0X2dvVUdKN0EwVWNMcHdqcGVYalZUUFh5Tm9xOGFqZ1JBXzQzT1VsbXljN1ZMTDJ5RVF5V1pjS0V0Y2cxOEhsQ0FqRFBSZw?oc=5
2026-04-18,3,7.82,赛果热点,赛果,中超-杨希建功克雷桑任意球救主 泰山1-1海港,中超-杨希建功克雷桑任意球救主 泰山1-1海港，国内关注度较高，重点看签表、排名或联赛走势的后续变化。,央视体育,1,2026-04-17T21:08:00+07:00,2026-04-17T21:08:00+07:00,中超、足球,中超,山东泰山、上海海港,赛果明确，传播面大；本土联赛优先级更高；关键词：中超；主体：山东泰山、上海海港；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE05bnd3cmlKbEc4ZDFjNEt4Q3c0Sm9BbWtXd2hQZ1JhMkc3Q3RGNmFOcWJla1Vjc3FJSnhjeGR3MEN1WmVTblhTXzNmSkVMa09hSWEwRUNxaDB0ak9VTXN6am16VDFBWk5JbFB0N3BDRVktMGpUWGJyekk5MA?oc=5
2026-04-18,4,7.76,赛果热点,赛果,NBA附加赛：班凯罗25+5+6 魔术大胜黄蜂晋级季后赛,班凯罗25+5+6 魔术大胜黄蜂晋级季后赛，胜负结果已经落地，重点看下一轮对手和后续走势变化。,央视体育,1,2026-04-18T09:35:00+07:00,2026-04-18T09:35:00+07:00,NBA,晋级、季后赛、附加赛、NBA,魔术、黄蜂、班凯罗,当天持续发酵；赛果明确，传播面大；关键词：晋级、季后赛、附加赛；主体：魔术、黄蜂、班凯罗；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE1IQl9fN3lzd3g1WHdSTG5lZTNnYkgtNm9jTXQ2NjlHSFdQLWRuQXVHdW1BZTExdGZnSkJPVjdocVZ0TUJ0Vkd4eGpBRnJQelFjSklNZGtYUEFkbjdBdlB6dU5MY3VMSkV4ejlIcFJONm03MzFoX1RoWnFONA?oc=5
2026-04-18,5,7.70,赛果热点,赛果,杰伦·格林36+6库里17+4 太阳淘汰勇士晋级季后赛,杰伦·格林36+6库里17+4 太阳淘汰勇士晋级季后赛，胜负结果已经落地，重点看下一轮对手和后续走势变化。,央视体育,1,2026-04-18T12:11:00+07:00,2026-04-18T12:11:00+07:00,NBA,晋级、淘汰、季后赛,勇士、太阳、库里、杰伦·格林,当天持续发酵；赛果明确，传播面大；关键词：晋级、淘汰、季后赛；主体：勇士、太阳、库里；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE5zdng2TnFMaXN1bmNaT1hJTmpkaGRtSkpCM29SU0pvWS1QSUNETG9GaUZWdHZtMHIwVXBReHZSRkVNUUJLV0tYdFp5MnZHODF5R2VXR0xpelBpYzNaanBoc0lZU3Y4ZXgzTVJ5VEE3bEhtWXJzcmoxWW9uWQ?oc=5
2026-04-18,6,7.57,赛果热点,赛果,WTA500斯图加特站 张帅组合完胜晋级女双半决赛,WTA500斯图加特站 张帅组合完胜晋级女双半决赛，胜负结果已经落地，重点看下一轮对手和后续走势变化。,央视体育,1,2026-04-17T08:41:00+07:00,2026-04-17T08:41:00+07:00,网球,晋级、决赛、半决赛,张帅,赛果明确，传播面大；本土球队和中国球员更易形成讨论；关键词：晋级、决赛、半决赛；主体：张帅；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTFBsaUJPSlhCeUZsT1FEOVBXUUhiSGZRTFFMNDZCSVVldjhaYmRYX3hYMXY2cnd4OEJBby13TWxoXy1IQjJxQTRxWmpFU3k4Wm4tcWVDeTNXY0lpeFNSY0QxenFFTlhudGRtc2NNa3ZUYjJOQnlGRk96N080WQ?oc=5
2026-04-18,7,7.16,赛果热点,赛果,CBA-赵继伟20+6莱迪25+15 辽宁击败南京,CBA-赵继伟20+6莱迪25+15 辽宁击败南京，国内关注度较高，重点看签表、排名或联赛走势的后续变化。,央视体育,1,2026-04-15T20:31:00+07:00,2026-04-15T20:31:00+07:00,CBA,CBA,赵继伟,赛果明确，传播面大；本土联赛优先级更高；关键词：CBA；主体：赵继伟；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE9LbDhyOVd2bHBpMTBDajI2ODltWUJSQTM1Q2l1aWctTEJJNDBUbzVTUG50bGM0cHJXZGFzRUpMTmVyak5xWlhPZWFKODBJZHc2c1AzQ1hUOWp1YlI1OF9pY1ZRa2xBcFF5REJKYl9YMk9UMV9odWJHRUxmYw?oc=5
2026-04-18,8,6.93,人物热点,赛前、球星,再创纪录！中国军团11人出战斯诺克世锦赛正赛,再创纪录！中国军团11人出战斯诺克世锦赛正赛，国内关注度较高，重点看签表、排名或联赛走势的后续变化。,央视体育,1,2026-04-16T10:43:00+07:00,2026-04-16T10:43:00+07:00,斯诺克,斯诺克、纪录,,人物带动讨论；关键词：斯诺克、纪录；标签：赛前、球星；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTE04Q3k3M0FUMm5SU1ZuaWp3Q0N2SnV6M2hwSXVhbl9VdHBIU1BMSWFWRkFYeVdBN1ctRWZtMFhJcktRTVJBZGd6WG54c2tKbTh3YVdBLTRuNEhKNE5lLWR5Y0R5MnJSa3VEU2RHbXJkZVlSbGxmcF9tOGlhNA?oc=5
2026-04-18,9,6.31,赛果热点,赛果,凯恩进球帕夫洛维奇破门 拜仁淘汰皇马晋级欧冠四强,凯恩进球帕夫洛维奇破门 拜仁淘汰皇马晋级欧冠四强，胜负结果已经落地，重点看下一轮对手和后续走势变化。,央视体育,1,2026-04-16T09:07:00+07:00,2026-04-16T09:07:00+07:00,足球,晋级、淘汰、欧冠,拜仁、皇马,赛果明确，传播面大；关键词：晋级、淘汰、欧冠；主体：拜仁、皇马；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTFB6XzdpRTB4aWlNQ1F3UjQ0enZERUR2WUpWb1dWcG02TUVqcDg4VzV6Q0VIZFE2dWI4S1g3RHNnWHJ1bDRlTUZ5RFo4ZFJtd3dqZjNTNnU5OU40UFZmSGFrNGdXWWZSMU1wd2Rkdkl5YUNOZkxnSWJkTXA0TQ?oc=5
2026-04-18,10,6.22,赛果热点,赛果,主场战平葡萄牙体育 阿森纳淘汰对手晋级欧冠四强,主场战平葡萄牙体育 阿森纳淘汰对手晋级欧冠四强，胜负结果已经落地，重点看下一轮对手和后续走势变化。,央视体育,1,2026-04-16T09:17:00+07:00,2026-04-16T09:17:00+07:00,足球,晋级、淘汰、欧冠,阿森纳,赛果明确，传播面大；关键词：晋级、淘汰、欧冠；主体：阿森纳；标签：赛果；来源：央视体育,https://news.google.com/rss/articles/CBMie0FVX3lxTFBRQzlVREltQnl4WHVORWFZTlhPWnNFSHRqbi1FcXdOTWk2UXNIUmVmeldTSXBBeHY2elB3cnZWbS1nT2dWanQ2RU5nall1Q1IxTjZuWGpWRk1XRHZaUGZhNnV1MkdOa21wWXJzVUJxeHUzRWplRmp2SVQyUQ?oc=5
